"","dispnum","stabb","ccode","stday","stmon","styear","endday","endmon","endyear","sidea","revstate","revtype1","revtype2","fatality","fatalpre","hiact","hostlev","orig","version","outcome","settle","recip","numa","numb","COWcode","year"
"3610",3361,"USR",365,26,2,1962,26,2,1962,0,0,0,-9,0,0,1,2,0,5,5,3,1,1,3,365,1962
"3611",3361,"DRV",816,-9,12,1961,26,2,1962,0,1,3,-9,0,0,0,1,1,5,5,3,1,1,3,816,1961
"3616",3370,"ISR",666,6,11,1950,7,4,1951,1,0,0,-9,0,0,16,4,1,5,3,1,1,1,1,666,1950
"3617",3370,"EGY",651,6,11,1950,7,4,1951,0,1,1,-9,0,0,16,4,1,5,3,1,1,1,1,651,1950
"3618",3371,"ISR",666,20,12,1951,20,12,1951,0,0,0,-9,0,0,0,1,1,5,5,3,0,1,1,666,1951
"3619",3371,"EGY",651,20,12,1951,20,12,1951,1,1,1,-9,0,0,12,3,1,5,5,3,0,1,1,651,1951
"3620",3372,"EGY",651,19,9,1951,2,7,1952,0,1,1,-9,2,-9,16,4,1,5,4,3,1,1,1,651,1951
"3621",3372,"ISR",666,19,9,1951,2,7,1952,1,0,0,-9,0,0,16,4,1,5,4,3,1,1,1,666,1951
"3622",3373,"ISR",666,24,1,1953,6,10,1956,1,0,0,-9,1,-9,16,4,1,5,5,3,1,1,1,666,1953
"3623",3373,"EGY",651,24,1,1953,6,10,1956,0,1,1,-9,2,-9,16,4,1,5,5,3,1,1,1,651,1953
"3624",3374,"ISR",666,24,12,1952,26,3,1954,0,0,0,-9,0,0,15,4,1,5,5,3,1,1,1,666,1952
"3625",3374,"EGY",651,24,12,1952,26,3,1954,1,1,1,-9,0,0,13,4,1,5,5,3,1,1,1,651,1952
"3626",3375,"ISR",666,3,4,1957,28,4,1961,1,0,0,-9,0,0,16,4,1,5,5,3,1,1,1,666,1957
"3627",3375,"EGY",651,3,4,1957,28,4,1961,0,1,1,-9,3,-9,15,4,1,5,5,3,1,1,1,651,1957
"3628",3377,"ISR",666,23,7,1963,23,7,1963,0,0,0,-9,0,0,17,4,1,5,5,3,1,1,1,666,1963
"3629",3377,"EGY",651,23,7,1963,23,7,1963,1,0,0,-9,-9,-9,17,4,1,5,5,3,1,1,1,651,1963
"3630",3378,"EGY",651,22,4,1964,3,3,1965,1,1,1,-9,0,0,7,3,1,5,5,3,1,1,1,651,1964
"3631",3378,"ISR",666,22,4,1964,3,3,1965,0,0,0,-9,0,0,15,4,1,5,5,3,1,1,1,666,1964
"3632",3379,"EGY",651,18,2,1966,29,11,1966,1,1,1,-9,-9,-9,7,3,1,5,5,3,1,1,1,651,1966
"3633",3379,"ISR",666,18,2,1966,29,11,1966,0,0,0,-9,0,0,16,4,1,5,5,3,1,1,1,666,1966
"3634",3380,"ISR",666,25,10,1973,25,7,1975,0,0,0,-9,1,-9,17,4,1,5,5,1,1,1,1,666,1973
"3635",3380,"EGY",651,25,10,1973,25,7,1975,1,1,1,-9,-9,-9,17,4,1,5,5,1,1,1,1,651,1973
"3636",3381,"ISR",666,15,10,1975,6,3,1976,0,0,0,-9,0,0,0,1,1,5,5,3,0,1,1,666,1975
"3637",3381,"EGY",651,15,10,1975,6,3,1976,1,1,2,-9,0,0,1,2,1,5,5,3,0,1,1,651,1975
"3638",3382,"EGY",651,14,11,1977,19,11,1977,0,1,1,-9,0,0,0,1,1,5,5,3,0,1,1,651,1977
"3639",3382,"ISR",666,14,11,1977,19,11,1977,1,0,0,-9,0,0,8,3,1,5,5,3,0,1,1,666,1977
"3640",3383,"ISR",666,3,7,1979,3,7,1979,1,0,0,-9,0,0,7,3,1,5,6,1,0,1,1,666,1979
